release,feature_type,technique,precision,recall,gmean_pu
63,bert,pruning,0.0,0.0,0.0
63,bert,propagation1,0.035,0.538,25.825
63,bert,oneclass,0.023,0.689,42.358
64,bert,pruning,0,0.0,0.0
64,bert,propagation1,0.034,0.582,29.367
64,bert,oneclass,0.028,0.564,27.561
65,bert,pruning,0.078,0.475,13.27
65,bert,propagation1,0.053,0.614,22.197
65,bert,oneclass,0.029,0.867,44.278
66,bert,pruning,0.178,0.13,0.97
66,bert,propagation1,0.062,0.562,18.212
66,bert,oneclass,0.037,0.765,33.815
67,bert,pruning,0.055,0.531,18.161
67,bert,propagation1,0.033,0.628,25.365
67,bert,oneclass,0.023,0.848,46.34
68,bert,pruning,0.068,0.542,23.466
68,bert,propagation1,0.037,0.695,38.522
68,bert,oneclass,0.025,0.39,12.123
69,bert,pruning,0.16,0.116,0.992
69,bert,propagation1,0.056,0.519,19.782
69,bert,oneclass,0.055,0.419,12.85
70,bert,pruning,0.076,0.337,10.635
70,bert,propagation1,0.032,0.604,34.234
70,bert,oneclass,0.017,0.782,57.419
71,bert,pruning,0.167,0.01,0.009
71,bert,propagation1,0.053,0.549,28.343
71,bert,oneclass,0.054,0.324,9.842
72,bert,pruning,0.0,0.0,0.0
72,bert,propagation1,0.03,0.513,32.492
72,bert,oneclass,0.016,0.205,5.199
73,bert,pruning,0.0,0.0,0.0
73,bert,propagation1,0.02,0.6,57.714
73,bert,oneclass,0.017,0.483,37.452
74,bert,pruning,0,0.0,0.0
74,bert,propagation1,0.028,0.524,42.071
74,bert,oneclass,0.006,0.016,0.039
75,bert,pruning,0,0.0,0.0
75,bert,propagation1,0.014,0.64,79.29
75,bert,oneclass,0.012,0.48,44.601
76,bert,pruning,0,0.0,0.0
76,bert,propagation1,0.012,0.474,38.223
76,bert,oneclass,0,0.0,0.0
77,bert,pruning,0,0.0,0.0
77,bert,propagation1,0.0,0.0,0.0
77,bert,oneclass,0,0.0,0.0
78,bert,pruning,0,0.0,0.0
78,bert,propagation1,0.015,0.651,96.113
78,bert,oneclass,0.013,0.581,76.621
79,bert,pruning,0,0.0,0.0
79,bert,propagation1,0.014,0.755,104.978
79,bert,oneclass,0.007,0.17,5.315
81,bert,pruning,0,0.0,0.0
81,bert,propagation1,0.011,0.593,127.98
81,bert,oneclass,0.008,0.407,60.491
82,bert,pruning,0,0.0,0.0
82,bert,propagation1,0.004,0.5,175.446
82,bert,oneclass,0.005,0.643,290.024
